drug_name,smiles,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_min_mg_L,half_life_h,half_life_h_max,source,pubchem_cid,unit_converted,data_quality_flag,likely_therapeutic_agent,non_therapeutic_reason
Albendazole,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,0.5,1.5,,8,9,Schulz_2020_CritCare,2082,no,,True,
Alcuronium,C=CC[N+]12CCC34C1CC(C(=CCO)C2)C5=CN6C7C(=CN(C53)C8=CC=CC=C48)C9CC1C7(CC[N+]1(CC9=CCO)CC=C)C1=CC=CC=C16,0.3,3,,3.3,,Schulz_2020_CritCare,21158560,no,,True,
Alendronate (Alendronic acid),C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,0.005,0.005,,24,48,Schulz_2020_CritCare,2088,no,,True,
Alfentanil,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,0.03,0.6,,0.6,2.3,Schulz_2020_CritCare,51263,no,,True,
Alfuzosine,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,0.003,0.06,0.12,3,9,Schulz_2020_CritCare,2092,no,,True,
Alimemazine (Trimeprazine),CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)CN(C)C,0.05,0.4,0.5,8,,Schulz_2020_CritCare,5574,no,,True,
Aliskiren,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,0.07,0.45,,30,70,Schulz_2020_CritCare,5493444,no,,True,
Alizapride,COC1=CC2=C(C=C1C(=O)NCC3CCCN3CC=C)NN=N2,0.1,2,,2,3,Schulz_2020_CritCare,135413504,no,,True,
Allobarbital,C=CCC1(C(=O)NC(=O)NC1=O)CC=C,2,5,10,40,48,Schulz_2020_CritCare,5842,no,,True,
Allopurinol,C1=NNC2=C1C(=O)NC=N2,2,19,,0.5,3,Schulz_2020_CritCare,135401907,no,,True,
Almotriptan,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,0.05,0.07,,3,4,Schulz_2020_CritCare,123606,no,,True,
Alogliptin,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCCC(C3)N,0.06,0.87,,21,,Schulz_2020_CritCare,11450633,no,,True,
Alphaprodine,CCC(=O)OC1(CCN(CC1C)C)C2=CC=CC=C2,0.87,1,,1.6,2.6,Schulz_2020_CritCare,120738,no,,True,
Alprazolam,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,0.005,0.05,0.1,12,15,Schulz_2020_CritCare,2118,no,,True,
Alprenolol,CC(C)NCC(COC1=CC=CC=C1CC=C)O,0.025,0.14,1,2,7,Schulz_2020_CritCare,2119,no,,True,
Aluminium,[Al],0.001,0.001,0.02,3840,,Schulz_2020_CritCare,5359268,no,,False,toxic_metal
Amantadine,C1C2CC3CC1CC(C2)(C3)N,0.2,0.6,1.2,9,15,Schulz_2020_CritCare,2130,no,,True,
Amikacin,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N,10,25,30,2,3,Schulz_2020_CritCare,37768,no,,True,
Amiloride,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,0.017,0.026,,17,24,Schulz_2020_CritCare,16231,no,,True,
Aminoglutethimide,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,7.5,25,,10,15,Schulz_2020_CritCare,2145,no,,True,
Aminophenazone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,10,20,,,,Schulz_2020_CritCare,6009,no,,True,
5-(2-Aminopropyl)benzofuran (5-APB),CC(CC1=CC2=C(C=C1)OC=C2)N,0.1,0.1,,,,Schulz_2020_CritCare,9837232,no,,False,nps_designer_drug
4-Aminopyridine (Fampridine),C1=CN=CC=C1N,0.025,0.075,0.14,3,3.5,Schulz_2020_CritCare,1727,no,,True,
Amiodarone,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,1,2,2.5,30,120,Schulz_2020_CritCare,2157,no,,True,
Amisulpride,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,0.1,0.4,0.64,12,20,Schulz_2020_CritCare,2159,no,,True,
Amitriptyline Amitriptyline + Nortriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,0.05,0.3,0.5,30,50,Schulz_2020_CritCare,2160,no,,True,
Amlodipine,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,0.003,0.015,0.088,34,50,Schulz_2020_CritCare,2162,no,,True,
Ammonia,N,0.5,1.7,,,,Schulz_2020_CritCare,222,no,,False,industrial_chemical
Amobarbital,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,1,5,10,15,30,Schulz_2020_CritCare,2164,no,,True,
Amoxapine,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,0.18,0.6,3,8,,Schulz_2020_CritCare,2170,no,,True,
Amoxicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,0.5,1,,1,2,Schulz_2020_CritCare,33613,no,,True,
Amphetamine,CC(CC1=CC=CC=C1)N,0.02,0.1,0.2,4,8,Schulz_2020_CritCare,3007,no,,True,
Amphotericin B,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,0.2,3,5,24,48,Schulz_2020_CritCare,5280965,no,,True,
Ampicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,0.02,2,,1,,Schulz_2020_CritCare,6249,no,,True,
Amrinone,C1=CN=CC=C1C2=CNC(=O)C(=C2)N,1,2,,3,12,Schulz_2020_CritCare,3698,no,,True,
Amsacrine,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,1,5.5,,5,7,Schulz_2020_CritCare,2179,no,,True,
Anileridine,CCOC(=O)C1(CCN(CC1)CCC2=CC=C(C=C2)N)C3=CC=CC=C3,0.5,0.5,,,,Schulz_2020_CritCare,8944,no,,True,
Apixaban,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,0.03,0.3,,9,14,Schulz_2020_CritCare,10182969,no,,True,
Apomorphine,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,0.002,0.02,,,,Schulz_2020_CritCare,6005,no,,True,
Aprindine,CCN(CC)CCCN(C1CC2=CC=CC=C2C1)C3=CC=CC=C3,1,2,2,13,50,Schulz_2020_CritCare,2218,no,,True,
Aprobarbital,CC(C)C1(C(=O)NC(=O)NC1=O)CC=C,4,20,30,14,34,Schulz_2020_CritCare,6464,no,,True,
Aripiprazole Aripiprazole + Dehydroaripiprazole,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,0.1,0.35,1,60,80,Schulz_2020_CritCare,60795,no,,True,
Armodafinil,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,0.001,0.01,,10,20,Schulz_2020_CritCare,9690109,no,,True,
Arsenic,[As],0.002,0.012,0.05,10,14,Schulz_2020_CritCare,5359596,no,,False,toxic_metal
Articaine,CCCNC(C)C(=O)NC1=C(SC=C1C)C(=O)OC,1.5,2,,0.3,,Schulz_2020_CritCare,32170,no,,True,
Asenapine,CN1CC2C(C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,0.001,0.005,0.01,13,39,Schulz_2020_CritCare,163091,no,,True,
Astemizole,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,0.002,0.05,14,48,96,Schulz_2020_CritCare,2247,no,,True,
Atazanavir (ATV),CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC,0.15,0.15,,6.5,8.6,Schulz_2020_CritCare,148192,no,,True,
Atenolol,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,0.1,1,2,4,14,Schulz_2020_CritCare,2249,no,,True,
Atomoxetine,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2,0.2,1,2,,,Schulz_2020_CritCare,54841,no,,True,
Atorvastatin,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,0.007,0.01,0.05,11,24,Schulz_2020_CritCare,60823,no,,True,
Atovaquone,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,13.9,13.9,,2,3,Schulz_2020_CritCare,74989,no,,True,
Atracurium(besylate),C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C,0.1,0.5,,,,Schulz_2020_CritCare,47319,no,,True,
Atropine,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,0.002,0.025,0.03,2,6.5,Schulz_2020_CritCare,174174,no,,True,
Avobenzone,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,0.001,0.009,,74,112,Schulz_2020_CritCare,51040,no,,False,sunscreen_topical_not_systemic
Azapropazone (Apazone),CCCC1C(=O)N2C3=C(C=CC(=C3)C)N=C(N2C1=O)N(C)C,40,90,,8,24,Schulz_2020_CritCare,26098,no,,True,
Azathioprine,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],0.05,2,,1,2,Schulz_2020_CritCare,2265,no,,True,
Azelastine,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,0.002,0.003,,22,25,Schulz_2020_CritCare,2267,no,,True,
Azelnidipine,CC1=C(C(C(=C(N1)N)C(=O)OC2CN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC(C)C,0.03,0.03,,14,20,Schulz_2020_CritCare,65948,no,,True,
Azilsartan medoxomil,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)OCC6=C(OC(=O)O6)C,4,5,,12,20,Schulz_2020_CritCare,135409642,no,,True,
Azithromycin,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,0.04,1,,1200,1440,Schulz_2020_CritCare,447043,no,,True,
Aztreonam,CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N,1,10,,1.5,2,Schulz_2020_CritCare,5742832,no,,True,
Baclofen,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,0.08,0.4,1.1,6.8,,Schulz_2020_CritCare,2284,no,,True,
Barbital,CCC1(C(=O)NC(=O)NC1=O)CC,2,20,20,57,120,Schulz_2020_CritCare,2294,no,,True,
Benazepril,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O,0.003,0.007,,10.5,,Schulz_2020_CritCare,5362124,no,,True,
Bendrofluazide,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,0.05,0.1,,,,Schulz_2020_CritCare,2315,no,,True,
Bendroflumethiazide,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,0.02,0.09,,2.4,3.8,Schulz_2020_CritCare,2315,no,,True,
Benperidol,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,0.001,0.01,0.02,4,8,Schulz_2020_CritCare,16363,no,,True,
Benzbromarone,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,2,10,,2,4,Schulz_2020_CritCare,2333,no,,True,
Benzphetamine,CC(CC1=CC=CC=C1)N(C)CC2=CC=CC=C2,0.025,0.5,0.5,,,Schulz_2020_CritCare,5311017,no,,True,
Benztropine,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4,0.01,0.18,0.05,12,24,Schulz_2020_CritCare,1201549,no,,True,
Benzylpenicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,1.2,12,,1,,Schulz_2020_CritCare,5904,no,,True,
N-Benzylpiperazine,C1CN(CCN1)CC2=CC=CC=C2,0.01,1.2,0.7,4,6,Schulz_2020_CritCare,75994,no,,False,nps_designer_drug
Bepridil,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,0.6,2.5,,33,42,Schulz_2020_CritCare,2351,no,,True,
Betacarotene,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,4,6,,,,Schulz_2020_CritCare,5280489,no,,True,
Betaxolol,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,0.005,0.05,,14,22,Schulz_2020_CritCare,2369,no,,True,
Bethanidine,CNC(=NC)NCC1=CC=CC=C1,0.02,0.5,,9,10,Schulz_2020_CritCare,2368,no,,True,
Bevantolol,CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O,0.2,2,,2,,Schulz_2020_CritCare,2372,no,,True,
Bicalutamide,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,1.5,17.5,,7,10,Schulz_2020_CritCare,2375,no,,True,
Biperiden,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O,0.001,0.0065,0.013,18,24,Schulz_2020_CritCare,2381,no,,True,
Bisoprolol,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O,0.01,0.1,0.2,10,12,Schulz_2020_CritCare,2405,no,,True,
Bopindolol,CC1=CC2=C(N1)C=CC=C2OCC(CNC(C)(C)C)OC(=O)C3=CC=CC=C3,0.001,0.015,,4,8,Schulz_2020_CritCare,44112,no,,True,
Boron,[B],0.8,6,20,,,Schulz_2020_CritCare,5462311,no,,False,element_no_therapeutic_use
Bornaprine,CCN(CC)CCCOC(=O)C1(CC2CCC1C2)C3=CC=CC=C3,0.0007,0.0072,0.014,,,Schulz_2020_CritCare,70687267,no,,True,
Bosentan,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,0.7,1.6,,3.5,5.1,Schulz_2020_CritCare,104865,no,,True,
Brallobarbital (Brallobarbitone),C=CCC1(C(=O)NC(=O)NC1=O)CC(=C)Br,4,8,8,20,40,Schulz_2020_CritCare,68416,no,,True,
Bretylium,CC[N+](C)(C)CC1=CC=CC=C1Br,0.8,2.4,,6,11,Schulz_2020_CritCare,2431,no,,True,
Brivaracetam,CCCC1CC(=O)N(C1)C(CC)C(=O)N,0.5,0.9,1.8,7,11,Schulz_2020_CritCare,9837243,no,,True,
Bromazepam,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3,0.08,0.2,0.3,8,22,Schulz_2020_CritCare,2441,no,,True,
Bromide,[Br-],75,100,500,216,360,Schulz_2020_CritCare,259,no,,True,
Bromisoval,CC(C)C(C(=O)NC(=O)N)Br,10,20,30,,,Schulz_2020_CritCare,2447,no,,True,
Bromocriptine,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,0.0001,0.0003,0.008,,,Schulz_2020_CritCare,31101,yes,unit_converted:ng_per_mL_to_mg_per_L,True,
Bromperidol,C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F,0.012,0.02,0.03,20,36,Schulz_2020_CritCare,2448,no,,True,
Brompheniramine,CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2,0.005,0.015,0.2,2,10,Schulz_2020_CritCare,6834,no,,True,
Brotizolam,CC1=NN=C2N1C3=C(C=C(S3)Br)C(=NC2)C4=CC=CC=C4Cl,0.001,0.01,0.02,4,10,Schulz_2020_CritCare,2451,no,,True,
Budesonide,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,0.009,0.045,,2,3,Schulz_2020_CritCare,5281004,no,,True,
Budipine,CC(C)(C)N1CCC(CC1)(C2=CC=CC=C2)C3=CC=CC=C3,0.1,0.3,,30,,Schulz_2020_CritCare,68778,no,,True,
Buflomedil,COC1=CC(=C(C(=C1)OC)C(=O)CCCN2CCCC2)OC,0.2,0.5,15,2,4,Schulz_2020_CritCare,2467,no,,True,
Bumetanide,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,0.001,0.005,,0.8,1.5,Schulz_2020_CritCare,2471,no,,True,
Bunitrolol,CC(C)(C)NCC(COC1=CC=CC=C1C#N)O,0.001,0.015,,2,6,Schulz_2020_CritCare,2473,no,,True,
Bupivacaine,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,0.5,1.5,2,0.5,3,Schulz_2020_CritCare,2474,no,,True,
Buprenorphine,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,0.0005,0.005,0.01,2,5,Schulz_2020_CritCare,644073,no,,True,
Bupropion (Amfebutamone),CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,0.01,0.02,1.2,10,20,Schulz_2020_CritCare,444,no,,True,
Buspirone,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,0.001,0.004,0.03,1,5,Schulz_2020_CritCare,2477,no,,True,
Busulfan,CS(=O)(=O)OCCCCOS(=O)(=O)C,0.9,0.9,,2,4,Schulz_2020_CritCare,2478,no,,True,
Butalbital,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,1,5,10,30,40,Schulz_2020_CritCare,2481,no,,True,
Butaperazine,CCCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCN(CC4)C,0.02,0.3,,12,,Schulz_2020_CritCare,12598,no,,True,
Butorphanol,C1CCC2(C3CC4=C(C2(C1)CCN3CC5CCC5)C=C(C=C4)O)O,0.0006,0.002,,4,9,Schulz_2020_CritCare,5361092,no,,True,
Butriptyline,CC(CC1C2=CC=CC=C2CCC3=CC=CC=C13)CN(C)C,0.07,0.15,0.4,18,22,Schulz_2020_CritCare,21772,no,,True,
Cabergoline,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,5.8e-05,0.000144,0.00039,63,68,Schulz_2020_CritCare,54746,yes,unit_converted:ng_per_mL_to_mg_per_L,True,
Cadmium,[Cd],0.0003,0.0065,0.015,,,Schulz_2020_CritCare,23973,no,,False,toxic_metal
Caffeine (Coffein),CN1C=NC2=C1C(=O)N(C(=O)N2C)C,4,10,15,2,10,Schulz_2020_CritCare,2519,no,,True,
Calcifediol (Calcidiol; see also Vitamin D),CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,0.01,0.05,,,,Schulz_2020_CritCare,5283731,no,,True,
Camazepam,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)OC(=O)N(C)C)C3=CC=CC=C3,0.1,0.6,2,20,24,Schulz_2020_CritCare,37367,no,,True,
Camostat,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N,0.0871,0.0871,,100,,Schulz_2020_CritCare,2536,yes,unit_converted:ng_per_mL_to_mg_per_L,True,
Canagliflozin,CC1=C(C=C(C=C1)C2C(C(C(C(O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F,0.17,1.3,,10,12,Schulz_2020_CritCare,24812758,no,,True,
Candesartan,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,0.08,0.18,0.54,5,7,Schulz_2020_CritCare,2541,no,,True,
Captopril,CC(CS)C(=O)N1CCCC1C(=O)O,0.05,0.5,5,1,2,Schulz_2020_CritCare,44093,no,,True,
Carbachol,C[N+](C)(C)CCOC(=O)N.[Cl-],0.01,0.01,,,,Schulz_2020_CritCare,5831,no,,True,
Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,2,8,10,12,60,Schulz_2020_CritCare,2554,no,,True,
Carbenoxolone,CC1(C2CCC3(C(C2(CCC1OC(=O)CCC(=O)O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,5,30,,8,20,Schulz_2020_CritCare,636403,no,,True,
Carbidopa,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,0.02,0.2,0.4,2,,Schulz_2020_CritCare,34359,no,,True,
Carbimazole,CCOC(=O)N1C=CN(C1=S)C,0.5,3.4,,3,6,Schulz_2020_CritCare,31072,no,,True,
Carbinoxamine,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,0.02,0.04,,,,Schulz_2020_CritCare,2564,no,,True,
Carbocromene (Carbochromene),CCN(CC)CCC1=C(C2=C(C=C(C=C2)OCC(=O)OCC)OC1=O)C,0.8,2.4,,0.2,1.5,Schulz_2020_CritCare,12604,no,,True,
Carboplatin,C1CC(C1)(C(=O)[O-])C(=O)[O-].N.N.[Pt+2],10,25,,2.5,6,Schulz_2020_CritCare,10339178,no,,True,
Carbromal(um),CCC(CC)(C(=O)NC(=O)N)Br,2,10,15,7,15,Schulz_2020_CritCare,6488,no,,True,
Cariprazine,CN(C)C(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl,0.01,0.02,0.04,48,120,Schulz_2020_CritCare,11154555,no,,True,
Carisoprodol,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,2.5,10,40,0.9,2.4,Schulz_2020_CritCare,2576,no,,True,
Carteolol,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O,0.01,0.1,,3,7,Schulz_2020_CritCare,2583,no,,True,
Carvedilol,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,0.02,0.15,0.47,6,10,Schulz_2020_CritCare,2585,no,,True,
Cathine,CC(C(C1=CC=CC=C1)O)N,0.054,0.087,,1.8,8.6,Schulz_2020_CritCare,441457,no,,False,controlled_no_fda_approval
Cathinone,CC(C(=O)C1=CC=CC=C1)N,0.047,0.087,,0.7,2.3,Schulz_2020_CritCare,62258,no,,False,nps_precursor_no_approval
Cefaclor,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl,13,35,,0.5,1,Schulz_2020_CritCare,51039,no,,True,
Cefaloridine,C1C(=C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CS3)C(=O)[O-])C[N+]4=CC=CC=C4,20,80,,1.5,,Schulz_2020_CritCare,5773,no,,True,
Cefamandole,CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(C4=CC=CC=C4)O)SC2)C(=O)O,1,5,,0.5,1.2,Schulz_2020_CritCare,456255,no,,True,
Cefotaxime,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)O,0.5,2,,1,1.5,Schulz_2020_CritCare,5742673,no,,True,
Cefotetan,CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)O)S4)OC)SC2)C(=O)O,65,90,,3.5,,Schulz_2020_CritCare,53025,no,,True,
Cefsulodin,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)S(=O)(=O)O)C(=O)[O-])C[N+]4=CC=C(C=C4)C(=O)N,20,100,,1.6,1.9,Schulz_2020_CritCare,656575,no,,True,
