drug_name_raw,query_name,cid,smiles,mw,logp,iupac,source
Amikacin,Amikacin,37768,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N,585.6,-7.9,"(2S)-4-amino-N-[(1R,2S,3S,4R,5S)-5-amino-2-[(2S,3R,4S,5S,6R)-4-amino-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2R,3R,4S,5S,6R)-6-(aminomethyl)-3,4,5-trihydroxyoxan-2-yl]oxy-3-hydroxycyclohexyl]-2-hydroxybutanamide",pubchem_rest
Amiloride,Amiloride,16231,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,229.63,-0.7,"3,5-diamino-6-chloro-N-(diaminomethylidene)pyrazine-2-carboxamide",pubchem_rest
Aminoglutethimide,Aminoglutethimide,2145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,232.28,1.2,"3-(4-aminophenyl)-3-ethylpiperidine-2,6-dione",pubchem_rest
Aminophenazone,Aminophenazone,6009,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,231.29,1,"4-(dimethylamino)-1,5-dimethyl-2-phenylpyrazol-3-one",pubchem_rest
5-(2-Aminopropyl)benzofuran (5-APB),5-(2-Aminopropyl)benzofuran,9837232,CC(CC1=CC2=C(C=C1)OC=C2)N,175.23,2.1,1-(1-benzofuran-5-yl)propan-2-amine,pubchem_rest
"5-(2-Aminopropyl)indole (5-API, 5-IT)",5-(2-Aminopropyl)indole,55253543,CC(CC1=CC2=C(C=C1)NC=C2)N,174.24,2.1,1-(1H-indol-5-yl)propan-2-amine,pubchem_rest
4-Aminopyridine (Fampridine),4-Aminopyridine,1727,C1=CN=CC=C1N,94.11,0.3,pyridin-4-amine,pubchem_rest
Amiodarone,Amiodarone,2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,645.3,7.6,"(2-butyl-1-benzofuran-3-yl)-[4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl]methanone",pubchem_rest
Amisulpride,Amisulpride,2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,369.5,1.5,4-amino-N-[(1-ethylpyrrolidin-2-yl)methyl]-5-ethylsulfonyl-2-methoxybenzamide,pubchem_rest
Amitriptyline Amitriptyline + Nortriptyline,Amitriptyline,2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,277.4,5,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine",pubchem_rest
Amlodipine,Amlodipine,2162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,408.9,3,"3-O-ethyl 5-O-methyl 2-(2-aminoethoxymethyl)-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate",pubchem_rest
Ammonia,Ammonia,222,N,17.031,-0.7,azane,pubchem_rest
Amobarbital,Amobarbital,2164,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,226.27,2.1,"5-ethyl-5-(3-methylbutyl)-1,3-diazinane-2,4,6-trione",pubchem_rest
Amodiaquine,Amodiaquine,2165,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O,355.9,2.6,4-[(7-chloroquinolin-4-yl)amino]-2-(diethylaminomethyl)phenol,pubchem_rest
Amoxapine,Amoxapine,2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,313.8,2.6,"8-chloro-6-piperazin-1-ylbenzo[b][1,4]benzoxazepine",pubchem_rest
Amoxicillin,Amoxicillin,33613,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,365.4,-2,"(2S,5R,6R)-6-[[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",pubchem_rest
Amphetamine,Amphetamine,3007,CC(CC1=CC=CC=C1)N,135.21,1.8,1-phenylpropan-2-amine,pubchem_rest
Amphotericin B,Amphotericin B,5280965,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,924.1,0,"(1R,3S,5R,6R,9R,11R,15S,16R,17R,18S,19E,21E,23E,25E,27E,29E,31E,33R,35S,36R,37S)-33-[(2R,3S,4S,5S,6R)-4-amino-3,5-dihydroxy-6-methyloxan-2-yl]oxy-1,3,5,6,9,11,17,37-octahydroxy-15,16,18-trimethyl-13-oxo-14,39-dioxabicyclo[33.3.1]nonatriaconta-19,21,23,25,27,29,31-heptaene-36-carboxylic acid",pubchem_rest
Ampicillin,Ampicillin,6249,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,349.4,-1.1,"(2S,5R,6R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",pubchem_rest
