drug_name,smiles,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_min_mg_L,half_life_h,half_life_h_max,source,pubchem_cid,unit_converted,data_quality_flag
Dofetilide,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,0.002,0.0055,,9,10,Schulz_2020_CritCare,71329,no,
Domperidone,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,0.01,0.1,0.2,12,16,Schulz_2020_CritCare,3151,no,
Donepezil,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,0.03,0.075,0.1,70,100,Schulz_2020_CritCare,3152,no,
Doripenem,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)CNS(=O)(=O)N)C(=O)O)C(C)O,-12,-12,,2.5,8,Schulz_2020_CritCare,73303,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Dothiepin (Dosulepin),CN(C)CCC=C1C2=CC=CC=C2CSC3=CC=CC=C31,0.045,0.1,0.2,11,20,Schulz_2020_CritCare,3155,no,
Doxacurium,C[N+]1(CCC2=CC(=C(C(=C2C1CC3=CC(=C(C(=C3)OC)OC)OC)OC)OC)OC)CCCOC(=O)CCC(=O)OCCC[N+]4(CCC5=CC(=C(C(=C5C4CC6=CC(=C(C(=C6)OC)OC)OC)OC)OC)OC)C,0.01,0.3,,1,2,Schulz_2020_CritCare,60169,no,
Doxapram,CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4,2,5,9,2.4,9.9,Schulz_2020_CritCare,3156,no,
Doxazosin,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,0.01,0.15,0.3,10,22,Schulz_2020_CritCare,3157,no,
Doxepin Doxepin plus N-desmethyldoxepin,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,0.01,0.2,0.5,15,20,Schulz_2020_CritCare,3158,no,
Doxorubicin (Adriamycin),CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,0.006,0.02,,20,48,Schulz_2020_CritCare,51066577,no,
Doxycycline,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,1,5,30,15,28,Schulz_2020_CritCare,54671203,no,
Doxylamine,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,0.05,0.2,0.32,9,11,Schulz_2020_CritCare,3162,no,
"Dronabinol (Delta-9-tetrahydrocannabinol, THC)",CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O,0.005,0.01,,50,100,Schulz_2020_CritCare,16078,no,
Dronedarone,CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC,0.084,0.167,,24,30,Schulz_2020_CritCare,208898,no,
Droperidol,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,-0.05,-0.05,,1.5,2.5,Schulz_2020_CritCare,3168,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Duloxetine,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,0.03,0.12,0.24,9,19,Schulz_2020_CritCare,60835,no,
Dutasteride,CC12CCC3C(C1CCC2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CCC5C3(C=CC(=O)N5)C,0.025,0.055,,672,840,Schulz_2020_CritCare,6918296,no,
Dyphylline,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,6.5,14,40,2,,Schulz_2020_CritCare,3182,no,
Ecamsule (Mexoryl SX),CC1(C2CCC1(C(=O)C2=CC3=CC=C(C=C3)C=C4C5CCC(C4=O)(C5(C)C)CS(=O)(=O)O)CS(=O)(=O)O)C,0.0005,0.012,,,,Schulz_2020_CritCare,146382,no,
Ecdysterone,CC12CCC3C(=CC(=O)C4C3(CC(C(C4)O)O)C)C1(CCC2C(C)(C(CCC(C)(C)O)O)O)O,-0.008,-0.008,,,,Schulz_2020_CritCare,118701161,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Edoxaban,CN1CCC2=C(C1)SC(=N2)C(=O)NC3CC(CCC3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C,0.02,0.1,0.15,10,14,Schulz_2020_CritCare,10280735,no,
Edrophonium,CC[N+](C)(C)C1=CC(=CC=C1)O,0.15,0.2,0.15,1.3,2.4,Schulz_2020_CritCare,3202,no,
Efavirenz (EFV),C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,1.0,1.0,6,40,55,Schulz_2020_CritCare,64139,no,
Eletriptan,CN1CCCC1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4,0.06,0.23,,3,7,Schulz_2020_CritCare,77993,no,
Emetine,CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,0.005,0.075,0.008,10,18,Schulz_2020_CritCare,10219,no,
Empagliflozin,C1COCC1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)C4C(C(C(C(O4)CO)O)O)O)Cl,0.03,0.36,,9,10,Schulz_2020_CritCare,11949646,no,
Enalapril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O,0.01,0.05,0.3,8,11,Schulz_2020_CritCare,5388962,no,
Endrin,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,-0.003,-0.003,0.01,,,Schulz_2020_CritCare,12358480,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Enflurane,C(C(OC(F)F)(F)F)(F)Cl,44,144,,36,,Schulz_2020_CritCare,3226,no,
Enfuvirtide,CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(CCC(=O)N)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CC(=O)N)C(=O)NC(CC5=CNC6=CC=CC=C65)C(=O)NC(CC7=CC=CC=C7)C(=O)N)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CC8=CN=CN8)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC9=CC=C(C=C9)O)NC(=O)C,2.6,3.4,,3,4,Schulz_2020_CritCare,16130199,no,
Enoxacin,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,1,4,,3,6,Schulz_2020_CritCare,3229,no,
Enoximone,CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC,0.2,0.2,,4,7,Schulz_2020_CritCare,53708,no,
Enprofylline,CCCN1C2=C(C(=O)NC1=O)NC=N2,1,5,10,,,Schulz_2020_CritCare,1676,no,
Entacapone,CCN(CC)C(=O)C(=CC1=CC(=C(C(=C1)O)O)[N+](=O)[O-])C#N,0.4,1.0,2,1.5,3.5,Schulz_2020_CritCare,5281081,no,
Enzalutamide,CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C,19,25,,,,Schulz_2020_CritCare,15951529,no,
Eperisone,CCC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2,0.0007,0.008,0.16,1,4,Schulz_2020_CritCare,3236,no,
Ephedrine,CC(C(C1=CC=CC=C1)O)NC,0.02,0.2,0.15,3,11,Schulz_2020_CritCare,9294,no,
Epinephrine (Adrenaline),CNCC(C1=CC(=C(C=C1)O)O)O,6.8,6.8,,0.7,,Schulz_2020_CritCare,5816,no,
Epirubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,0.2,3,,10,45,Schulz_2020_CritCare,41867,no,
Eplerenone,CC12CCC(=O)C=C1CC(C3C24C(O4)CC5(C3CCC56CCC(=O)O6)C)C(=O)OC,1,1.7,,3,6,Schulz_2020_CritCare,443872,no,
Eprosartan,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)C=C(CC3=CC=CS3)C(=O)O,0.4,1.0,,5,9,Schulz_2020_CritCare,5281037,no,
Eptastigmine,CCCCCCCNC(=O)OC1=CC2=C(C=C1)N(C3C2(CCN3C)C)C,0.0002,0.006,,,,Schulz_2020_CritCare,65872,no,
Ergotamine,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C,0.00036,0.00042,0.00082,1.5,2.5,Schulz_2020_CritCare,8223,yes,unit_converted:ng_per_mL_to_mg_per_L
Ertapenem,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)NC4=CC=CC(=C4)C(=O)O)C(=O)O)C(C)O,-100,-100,,3.5,7,Schulz_2020_CritCare,150610,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Erythromycin,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,0.5,6,12,1,3,Schulz_2020_CritCare,12560,no,
Escitalopram,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,0.015,0.08,0.16,26.3,,Schulz_2020_CritCare,146570,no,
Eslicarbazepine acetate,CC(=O)OC1CC2=CC=CC=C2N(C3=CC=CC=C13)C(=O)N,10,35,70,20,40,Schulz_2020_CritCare,179344,no,
Esmolol,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O,0.15,2,,4,16,Schulz_2020_CritCare,59768,no,
Esomeprazol,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,0.6,6.6,,0.6,1.4,Schulz_2020_CritCare,9568614,no,
