drug_name,smiles,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_min_mg_L,half_life_h,half_life_h_max,source,pubchem_cid,unit_converted,data_quality_flag
Mesoridazine,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C,0.1,1,3,2,9,Schulz_2020_CritCare,4078,no,
Metaclazepam,CN1C(CN=C(C2=C1C=CC(=C2)Br)C3=CC=CC=C3Cl)COC,0.05,0.2,,7,23,Schulz_2020_CritCare,71272,no,
Metamizole (Dipyrone),CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)O,10,10,20,5,8,Schulz_2020_CritCare,3111,no,
Metaxalone,CC1=CC(=CC(=C1)OCC2CNC(=O)O2)C,0.6,3,11,2,14,Schulz_2020_CritCare,15459,no,
Metformin,CN(C)C(=N)N=C(N)N,0.1,2,5,2,9,Schulz_2020_CritCare,4091,no,
Methadone,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,0.1,0.6,0.3,24,48,Schulz_2020_CritCare,4095,no,
Methamphetamine (Methylamphetamine),CC(CC1=CC=CC=C1)NC,-0.1,-0.1,0.2,6,15,Schulz_2020_CritCare,10836,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Methanol,CO,-3,-3,200,10,12,Schulz_2020_CritCare,887,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Methapyrilene,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2,0.1,0.1,4,,,Schulz_2020_CritCare,4098,no,
Methaqualone,CC1=CC=CC=C1N2C(=NC3=CC=CC=C3C2=O)C,1,3,3,10,40,Schulz_2020_CritCare,6292,no,
Methimazole,CN1C=CNC1=S,0.5,2.5,,2,28,Schulz_2020_CritCare,1349907,no,
Methocarbamol,COC1=CC=CC=C1OCC(COC(=O)N)O,25,40,250,1,2,Schulz_2020_CritCare,4107,no,
Methohexital,CCC#CC(C)C1(C(=O)NC(=O)N(C1=O)C)CC=C,0.5,5,2,1,6,Schulz_2020_CritCare,9034,no,
Methotrexate (MTX),CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,0.01,0.01,0.75,6,8,Schulz_2020_CritCare,126941,no,
Methoxsalen (8-Methoxypsoralene),COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,0.025,0.1,0.6,0.5,1.5,Schulz_2020_CritCare,4114,no,
Methsuximide (Mesuximide),CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2,10,40,45,20,40,Schulz_2020_CritCare,6476,no,
Methyldopa,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N,1,5,7,1.5,3,Schulz_2020_CritCare,38853,no,
"3,4-Methylenedioxyamphetamine (MDA)",CC(CC1=CC2=C(C=C1)OCO2)N,-0.4,-0.4,1.5,10.5,12.5,Schulz_2020_CritCare,1614,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
"3,4-Methylenedioxyethylamphetamine (MDEA, MDE)",CCNC(C)C1=CC2=C(C=C1)OCO2,-0.2,-0.2,,4,8,Schulz_2020_CritCare,6424841,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Methylphenidate,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,0.01,0.06,0.05,2,7,Schulz_2020_CritCare,4158,no,
Methyprylon(e),CCC1(C(=O)C(CNC1=O)C)CC,1,20,12,3,11,Schulz_2020_CritCare,4162,no,
Metiamide,CC1=C(N=CN1)CSCCNC(=S)NC,0.01,0.06,,,,Schulz_2020_CritCare,1548992,no,
Metipranolol,CC1=CC(=C(C(=C1OC(=O)C)C)C)OCC(CNC(C)C)O,0.02,0.08,,2,3.5,Schulz_2020_CritCare,31477,no,
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,0.05,0.15,0.2,3,6,Schulz_2020_CritCare,4168,no,
Metocurine,C[N+]1(CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)OC)O3)[N+](CCC6=CC(=C5OC)OC)(C)C)OC)C,0.4,1,,5,7,Schulz_2020_CritCare,21233,no,
Metolazone,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,0.005,0.05,,6,11,Schulz_2020_CritCare,4170,no,
Metoprolol,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,0.035,0.5,0.65,2.5,7.5,Schulz_2020_CritCare,4171,no,
Metrifonate,COP(=O)(C(C(Cl)(Cl)Cl)O)OC,1.4,3.6,,2,5,Schulz_2020_CritCare,5853,no,
Metronidazole,CC1=NC=C(N1CCO)[N+](=O)[O-],3,10,,6,14,Schulz_2020_CritCare,4173,no,
Mexiletine,CC1=C(C(=CC=C1)C)OCC(C)N,0.5,2,1.5,6,17,Schulz_2020_CritCare,4178,no,
Mianserin,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,0.015,0.07,0.14,14,33,Schulz_2020_CritCare,4184,no,
Mibefradil,CC(C)C1C2=C(CCC1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F,0.2,0.3,,17,25,Schulz_2020_CritCare,60663,no,
Miconazole,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,1,1,,24,,Schulz_2020_CritCare,4189,no,
Midazolam,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,0.04,0.1,1,1,3,Schulz_2020_CritCare,4192,no,
Mifepristone (RU-486),CC#CC1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O,0.1,4,,24,48,Schulz_2020_CritCare,55245,no,
Milnacipran,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2,0.1,0.15,0.3,5,8,Schulz_2020_CritCare,65833,no,
Milrinone,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,0.15,0.25,0.3,1,3,Schulz_2020_CritCare,4197,no,
Minaprine,CC1=CC(=NN=C1NCCN2CCOCC2)C3=CC=CC=C3,0.1,0.4,,,,Schulz_2020_CritCare,4199,no,
Minoxidil,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,0.02,0.2,3.1,1,4,Schulz_2020_CritCare,4201,no,
Mirabegron,C1=CC=C(C=C1)C(CNCCC2=CC=C(C=C2)NC(=O)CC3=CSC(=N3)N)O,0.005,0.03,,30,50,Schulz_2020_CritCare,9865528,no,
Mirtazapine,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,0.03,0.08,0.16,20,40,Schulz_2020_CritCare,4205,no,
Mitotane,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,14,20,20,18,159,Schulz_2020_CritCare,4211,no,
Mitragynine (Kratom),CCC1CN2CCC3=C(C2CC1C(=COC)C(=O)OC)NC4=C3C(=CC=C4)OC,0.02,0.1,,23,,Schulz_2020_CritCare,3034396,no,
Mizolastine,CN(C1CCN(CC1)C2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F)C5=NC=CC(=O)N5,0.2,0.8,,5,17,Schulz_2020_CritCare,65906,no,
Moclobemide,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl,0.3,1.0,2,1,7,Schulz_2020_CritCare,4235,no,
Modafinil,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,1,1.7,3.4,10,15,Schulz_2020_CritCare,4236,no,
Moexiprilat,CC(C(=O)N1CC2=CC(=C(C=C2CC1C(=O)O)OC)OC)NC(CCC3=CC=CC=C3)C(=O)O,0.005,0.04,,2,10,Schulz_2020_CritCare,55331,no,
Molindone,CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C,0.005,0.5,0.15,1.2,2.8,Schulz_2020_CritCare,23897,no,
Molsidomine,CCOC(=NC1=C[N+](=NO1)N2CCOCC2)[O-],0.002,0.03,,1,2.5,Schulz_2020_CritCare,5353788,no,
Molybdenum,[Mo],-0.005,-0.005,0.0077,,,Schulz_2020_CritCare,23932,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Montelukast (MK-0476),CC(C)(C1=CC=CC=C1CCC(C2=CC=CC(=C2)C=CC3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,0.02,0.3,0.6,3,6,Schulz_2020_CritCare,5281040,no,
Moricizine,CCOC(=O)NC1=CC2=C(C=C1)SC3=CC=CC=C3N2C(=O)CCN4CCOCC4,0.12,1.27,,6,13,Schulz_2020_CritCare,34633,no,
Morphine,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,0.01,0.1,0.1,1,4,Schulz_2020_CritCare,5288826,no,
Moxonidine,CC1=NC(=C(C(=N1)Cl)NC2=NCCN2)OC,0.001,0.002,,2,4,Schulz_2020_CritCare,4810,no,
Mycophenolate mofetil,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)OCCN3CCOCC3)O,0.3,3.5,44,16,18,Schulz_2020_CritCare,5281078,no,
Nadolol,CC(C)(C)NCC(COC1=CC=CC2=C1CC(C(C2)O)O)O,0.01,0.25,,20,24,Schulz_2020_CritCare,39147,no,
Naftidrofuryl (Nafronyl),CCN(CC)CCOC(=O)C(CC1CCCO1)CC2=CC=CC3=CC=CC=C32,0.5,0.5,,1,2,Schulz_2020_CritCare,4417,no,
Nalbuphine,C1CC(C1)CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)O,0.02,0.2,,2.5,7,Schulz_2020_CritCare,5311304,no,
Nalidixic acid,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,10,30,40,1,2,Schulz_2020_CritCare,4421,no,
Nalmefene,C=C1CCC2(C3CC4=C5C2(C1OC5=C(C=C4)O)CCN3CC6CC6)O,0.01,0.05,0.2,5,11,Schulz_2020_CritCare,5284594,no,
Naloxone,C=CCN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O,0.01,0.03,,1,2,Schulz_2020_CritCare,5284596,no,
Naltrexone,C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O,0.003,0.05,0.2,2,5,Schulz_2020_CritCare,5360515,no,
Naproxen,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,50,100,200,9,22,Schulz_2020_CritCare,156391,no,
Naratriptan,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,0.01,0.05,,5,6,Schulz_2020_CritCare,4440,no,
Nateglinide,CC(C)C1CCC(CC1)C(=O)NC(CC2=CC=CC=C2)C(=O)O,0.09,1.2,,1,2,Schulz_2020_CritCare,5311309,no,
Nebivolol,C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O,0.001,0.02,0.12,8,14,Schulz_2020_CritCare,71301,no,
Nedocromil,CCCC1=C2C(=CC3=C1OC(=CC3=O)C(=O)O)C(=O)C=C(N2CC)C(=O)O,0.02,0.02,,1.5,3.3,Schulz_2020_CritCare,50294,no,
Nefazodone,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,0.03,2.5,5.5,2,6,Schulz_2020_CritCare,4449,no,
Nefopam,CN1CCOC(C2=CC=CC=C2C1)C3=CC=CC=C3,0.01,0.1,0.6,3,8,Schulz_2020_CritCare,4450,no,
Nelfinavir (NFV),CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O,0.8,0.8,,3.5,5,Schulz_2020_CritCare,64143,no,
Neostigmine,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C,0.001,0.01,,0.4,1.3,Schulz_2020_CritCare,4456,no,
Netilmicin,CCNC1CC(C(C(C1OC2C(C(C(CO2)(C)O)NC)O)O)OC3C(CC=C(O3)CN)N)N,0.5,2,15,0.5,3,Schulz_2020_CritCare,441306,no,
Nevirapine (NVP),CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,3.0,3.0,,25,30,Schulz_2020_CritCare,4463,no,
Nicardipine,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,0.07,0.1,,7,12,Schulz_2020_CritCare,4474,no,
Nickel,[Ni],0.0015,0,3,,,Schulz_2020_CritCare,935,no,
Nicotine,CN1CCCC1C2=CN=CC=C2,0.005,0.03,0.4,1,4,Schulz_2020_CritCare,89594,no,
Nicotinic acid,C1=CC(=CN=C1)C(=O)O,4,18,,0.3,1,Schulz_2020_CritCare,938,no,
Nifedipine,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,0.01,0.2,,2,5,Schulz_2020_CritCare,4485,no,
Niflumic acid,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,2,35,,2,3,Schulz_2020_CritCare,4488,no,
Nilvadipine,CC1=C(C(C(=C(N1)C#N)C(=O)OC)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC(C)C,0.01,0.01,,9,13,Schulz_2020_CritCare,4494,no,
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,3,6.5,,2,7,Schulz_2020_CritCare,4495,no,
Nimodipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,0.01,0.05,,1,2,Schulz_2020_CritCare,4497,no,
Nimustine (ACNU),CC1=NC=C(C(=N1)N)CNC(=O)N(CCCl)N=O,0.0002,0.0005,,,,Schulz_2020_CritCare,39214,yes,unit_converted:ng_per_mL_to_mg_per_L
Nisoldipine,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,0.001,0.003,1.5,7,12,Schulz_2020_CritCare,4499,no,
Nitrazepam,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3,0.03,0.1,0.2,18,30,Schulz_2020_CritCare,4506,no,
Nitrendipine,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,0.01,0.05,,8,12,Schulz_2020_CritCare,4507,no,
Nitrofurantoin,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],0.5,5,,0.7,1.5,Schulz_2020_CritCare,6604200,no,
"Nitroglycerin (Glyceryl trinitrate, GTN)",C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],-0.015,-0.015,,20,30,Schulz_2020_CritCare,4510,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Nizatidine,CNC(=C[N+](=O)[O-])NCCSCC1=CSC(=N1)CN(C)C,0.05,1,,0.7,2.1,Schulz_2020_CritCare,4513,no,
Nomifensin(e),CN1CC(C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3,0.01,0.1,8,2,5,Schulz_2020_CritCare,4528,no,
Nordazepam (Desmethlydiazepam),C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3,0.12,0.8,1.5,30,90,Schulz_2020_CritCare,2997,no,
Norfenefrine,C1=CC(=CC(=C1)O)C(CN)O,0.002,0.002,,3,7,Schulz_2020_CritCare,4538,no,
Norfloxacin,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,0.5,5,,3,4,Schulz_2020_CritCare,4539,no,
Normesuximide (N-Desmethylmesuximide),CC1(CC(=O)NC1=O)C2=CC=CC=C2,10,40,45,36,45,Schulz_2020_CritCare,92154,no,
Nortriptyline (see also Amitriptyline),CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,0.07,0.17,0.3,18,44,Schulz_2020_CritCare,4543,no,
Noscapine,CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,0.02,0.4,,1.5,4,Schulz_2020_CritCare,275196,no,
Octisalate,CCCCC(CC)COC(=O)C1=CC=CC=C1O,0.001,0.006,,27,77,Schulz_2020_CritCare,8364,no,
Octinoxate,CCCCC(CC)COC(=O)C=CC1=CC=C(C=C1)OC,0.001,0.008,,50,157,Schulz_2020_CritCare,5355130,no,
Octocrylene,CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N,0.001,0.02,,50,80,Schulz_2020_CritCare,22571,no,
Ofloxacin,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,2,3,39,5,8,Schulz_2020_CritCare,4583,no,
Olanzapine,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,0.02,0.08,0.1,30,60,Schulz_2020_CritCare,135398745,no,
Olmesartan,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,0.1,1,,6,15,Schulz_2020_CritCare,158781,no,
Omecamtiv mecarbil,CC1=NC=C(C=C1)NC(=O)NC2=CC=CC(=C2F)CN3CCN(CC3)C(=O)OC,0.03,0.5,1.2,18,21,Schulz_2020_CritCare,11689883,no,
Omeprazole,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,0.05,4,8,0.5,1,Schulz_2020_CritCare,4594,no,
Ondansetron,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,0.03,0.3,,3,5.5,Schulz_2020_CritCare,4595,no,
Opipramol,C1CN(CCN1CCCN2C3=CC=CC=C3C=CC4=CC=CC=C42)CCO,0.05,0.5,1,6,12,Schulz_2020_CritCare,9417,no,
Orphenadrine,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C,0.1,0.2,1.7,13,20,Schulz_2020_CritCare,4601,no,
Oxaprozin,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,60,200,,30,70,Schulz_2020_CritCare,4614,no,
Oxatomide,C1CN(CCN1CCCN2C3=CC=CC=C3NC2=O)C(C4=CC=CC=C4)C5=CC=CC=C5,0.02,0.1,0.25,14,30,Schulz_2020_CritCare,4615,no,
Oxazepam,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,0.2,1.5,2,4,20,Schulz_2020_CritCare,4616,no,
Oxcarbazepine,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,10,35,35,1,5,Schulz_2020_CritCare,34312,no,
Oxprenolol,CC(C)NCC(COC1=CC=CC=C1OCC=C)O,0.05,0.3,2,1,4,Schulz_2020_CritCare,4631,no,
Oxybenzone,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,0.083,0.532,,,,Schulz_2020_CritCare,4632,no,
Oxybutinin (Oxybutynin),CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,0.001,0.02,,2,5,Schulz_2020_CritCare,4634,no,
Oxycodone,CN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)OC)O4)O,0.005,0.1,0.2,2,5,Schulz_2020_CritCare,5284603,no,
Oxyfedrine,CC(C(C1=CC=CC=C1)O)NCCC(=O)C2=CC(=CC=C2)OC,0.06,0.06,,4.2,,Schulz_2020_CritCare,5489013,no,
Oxymorphone,CN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O,0.0005,0.005,,7,9,Schulz_2020_CritCare,5284604,yes,unit_converted:ng_per_mL_to_mg_per_L
Oxyphenbutazone,CCCCC1C(=O)N(N(C1=O)C2=CC=C(C=C2)O)C3=CC=CC=C3,25,100,200,48,72,Schulz_2020_CritCare,4641,no,
Oxypurinol,C1=NNC2=C1C(=O)NC(=O)N2,5,15,20,18,30,Schulz_2020_CritCare,135398752,no,
Paclitaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,0.25,7,,8,20,Schulz_2020_CritCare,36314,no,
Paliperidone (9-Hydroxyrisperidone),CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,0.02,0.06,0.12,17,24,Schulz_2020_CritCare,115237,no,
Pamidronate (Pamidronic acid),C(CN)C(O)(P(=O)(O)O)P(=O)(O)O,0.02,0.02,,,,Schulz_2020_CritCare,4674,no,
Pancuronium,CC(=O)OC1CC2CCC3C(C2(CC1[N+]4(CCCCC4)C)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C,0.025,0.1,0.4,1.5,2.5,Schulz_2020_CritCare,441289,no,
Pantoprazole,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,1.5,14,28,1,2,Schulz_2020_CritCare,4679,no,
Papaverine,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,0.2,2,,1,2,Schulz_2020_CritCare,4680,no,
Paracetamol,CC(=O)NC1=CC=C(C=C1)O,10,25,100,2,4,Schulz_2020_CritCare,1983,no,
Paraldehyde,CC1OC(OC(O1)C)C,10,100,200,4,10,Schulz_2020_CritCare,31264,no,
Paroxetine,C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,0.002,0.065,0.12,16,24,Schulz_2020_CritCare,43815,no,
Pefloxacin,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O,1,10,25,8,15,Schulz_2020_CritCare,51081,no,
Pemoline,C1=CC=C(C=C1)C2C(=O)N=C(O2)N,1,7,,7,13,Schulz_2020_CritCare,4723,no,
Penbutolol,CC(C)(C)NCC(COC1=CC=CC=C1C2CCCC2)O,0.01,0.3,,17,26,Schulz_2020_CritCare,37464,no,
Penfluridol,C1CN(CCC1(C2=CC(=C(C=C2)Cl)C(F)(F)F)O)CCCC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,0.004,0.025,,70,,Schulz_2020_CritCare,33630,no,
(D-)Penicillamine,CC(C)(C(C(=O)O)N)S,1.7,5.6,,1,3,Schulz_2020_CritCare,5852,no,
Penicillin G,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,0.1,2.5,,0.5,1,Schulz_2020_CritCare,5904,no,
Pentachlorophenol (PCP),C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,-0.2,-0.2,30,312,456,Schulz_2020_CritCare,992,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Pentamidine,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,0.3,0.5,0.8,6,9,Schulz_2020_CritCare,4735,no,
Pentazocine,CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O,0.01,0.2,1,2,5,Schulz_2020_CritCare,441278,no,
Pentobarbital,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,1,5,5,20,48,Schulz_2020_CritCare,4737,no,
Pentoxifylline,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,0.5,2,4,0.5,3,Schulz_2020_CritCare,4740,no,
Pentoxyverine,CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2,-0.18,-0.18,,2,3,Schulz_2020_CritCare,2562,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Perampanel,C1=CC=C(C=C1)N2C=C(C=C(C2=O)C3=CC=CC=C3C#N)C4=CC=CC=N4,0.18,0.98,1,48,105,Schulz_2020_CritCare,9924495,no,
Perazine,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=CC=CC=C42,0.1,0.23,0.46,8,16,Schulz_2020_CritCare,4744,no,
Perhexiline,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3,0.11,0.6,0.6,12,18,Schulz_2020_CritCare,4746,no,
Periciazine (Pericyazine),C1CN(CCC1O)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C#N,0.005,0.03,0.1,7,9,Schulz_2020_CritCare,4747,no,
Perindopril,CCCC(C(=O)OCC)NC(C)C(=O)N1C2CCCCC2CC1C(=O)O,0.08,0.15,,0.8,3,Schulz_2020_CritCare,107807,no,
Perphenazine,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,0.0006,0.0024,0.005,8,12,Schulz_2020_CritCare,4748,yes,unit_converted:ng_per_mL_to_mg_per_L
Pethidine (Meperidine),CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2,0.1,0.8,1,3,6,Schulz_2020_CritCare,4058,no,
Phenacetin,CCOC1=CC=C(C=C1)NC(=O)C,5,10,50,,,Schulz_2020_CritCare,4754,no,
Phenazepam,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=C3Cl,0.02,0.04,,60,,Schulz_2020_CritCare,40113,no,
Phenazone (Antipyrine),CC1=CC(=O)N(N1C)C2=CC=CC=C2,1,25,50,10,12,Schulz_2020_CritCare,2206,no,
Phencyclidine (PCP),C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3,0.01,0.2,0.007,1,12,Schulz_2020_CritCare,6468,no,
Phendimetrazine,CC1C(OCCN1C)C2=CC=CC=C2,0.02,0.1,,2,4,Schulz_2020_CritCare,30487,no,
Phenelzine,C1=CC=C(C=C1)CCNN,0.001,0.002,0.5,6,8,Schulz_2020_CritCare,3675,no,
Phenformin,C1=CC=C(C=C1)CCN=C(N)N=C(N)N,0.03,0.1,0.6,4,13,Schulz_2020_CritCare,8249,no,
Pheniramine,CN(C)CCC(C1=CC=CC=C1)C2=CC=CC=N2,0.01,0.27,,16,19,Schulz_2020_CritCare,4761,no,
Phenmetrazine,CC1C(OCCN1)C2=CC=CC=C2,0.02,0.25,0.5,,,Schulz_2020_CritCare,4762,no,
Phenobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,10,40,40,60,130,Schulz_2020_CritCare,4763,no,
Phenol,C1=CC=C(C=C1)O,10,10,50,0.5,1,Schulz_2020_CritCare,996,no,
Phenprocoumon,CCC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,1,3,5,100,160,Schulz_2020_CritCare,54680692,no,
Phensuximide,CN1C(=O)CC(C1=O)C2=CC=CC=C2,4,10,80,4,12,Schulz_2020_CritCare,6839,no,
Phentermine,CC(C)(CC1=CC=CC=C1)N,0.03,0.1,0.9,,,Schulz_2020_CritCare,4771,no,
Phenylbutazone,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,50,100,120,30,175,Schulz_2020_CritCare,4781,no,
Phenylephrine,CNCC(C1=CC(=CC=C1)O)O,0.0004,0.0034,,0.5,4,Schulz_2020_CritCare,6041,yes,unit_converted:ng_per_mL_to_mg_per_L
Phenylpropanolamine (Norephedrine),CC(C(C1=CC=CC=C1)O)N,0.1,0.5,2,3,7,Schulz_2020_CritCare,26934,no,
Phenytoin,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,10,20,20,10,60,Schulz_2020_CritCare,1775,no,
