drug_name_raw,query_name,status,cid,smiles,mw,logp,iupac
Amoxapine,Amoxapine,match,2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,313.8,2.6,"8-chloro-6-piperazin-1-ylbenzo[b][1,4]benzoxazepine"
Amoxicillin,Amoxicillin,match,33613,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,365.4,-2,"(2S,5R,6R)-6-[[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid"
Amphetamine,Amphetamine,match,3007,CC(CC1=CC=CC=C1)N,135.21,1.8,1-phenylpropan-2-amine
Amphotericin B,Amphotericin B,match,5280965,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,924.1,0,"(1R,3S,5R,6R,9R,11R,15S,16R,17R,18S,19E,21E,23E,25E,27E,29E,31E,33R,35S,36R,37S)-33-[(2R,3S,4S,5S,6R)-4-amino-3,5-dihydroxy-6-methyloxan-2-yl]oxy-1,3,5,6,9,11,17,37-octahydroxy-15,16,18-trimethyl-13-oxo-14,39-dioxabicyclo[33.3.1]nonatriaconta-19,21,23,25,27,29,31-heptaene-36-carboxylic acid"
Ampicillin,Ampicillin,match,6249,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,349.4,-1.1,"(2S,5R,6R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid"
Amrinone,Amrinone,match,3698,C1=CN=CC=C1C2=CNC(=O)C(=C2)N,187.20,-0.2,3-amino-5-pyridin-4-yl-1H-pyridin-2-one
Amsacrine,Amsacrine,match,2179,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,393.5,4,N-[4-(acridin-9-ylamino)-3-methoxyphenyl]methanesulfonamide
Anileridine,Anileridine,match,8944,CCOC(=O)C1(CCN(CC1)CCC2=CC=C(C=C2)N)C3=CC=CC=C3,352.5,3.7,ethyl 1-[2-(4-aminophenyl)ethyl]-4-phenylpiperidine-4-carboxylate
Aniline,Aniline,match,6115,C1=CC=C(C=C1)N,93.13,0.9,aniline
Antimony,Antimony,match,5354495,[Sb],121.760,,antimony
Apixaban,Apixaban,match,10182969,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,459.5,2.2,"1-(4-methoxyphenyl)-7-oxo-6-[4-(2-oxopiperidin-1-yl)phenyl]-4,5-dihydropyrazolo[5,4-c]pyridine-3-carboxamide"
Apomorphine,Apomorphine,match,6005,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,267.32,2.3,"(6aR)-6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-10,11-diol"
Aprindine,Aprindine,match,2218,CCN(CC)CCCN(C1CC2=CC=CC=C2C1)C3=CC=CC=C3,322.5,5.2,"N'-(2,3-dihydro-1H-inden-2-yl)-N,N-diethyl-N'-phenylpropane-1,3-diamine"
Aprobarbital,Aprobarbital,match,6464,CC(C)C1(C(=O)NC(=O)NC1=O)CC=C,210.23,1.1,"5-propan-2-yl-5-prop-2-enyl-1,3-diazinane-2,4,6-trione"
Aripiprazole Aripiprazole + Dehydroaripiprazole,Aripiprazole,match,60795,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,448.4,4.6,"7-[4-[4-(2,3-dichlorophenyl)piperazin-1-yl]butoxy]-3,4-dihydro-1H-quinolin-2-one"
Armodafinil,Armodafinil,match,9690109,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,273.4,1.7,2-[(R)-benzhydrylsulfinyl]acetamide
Arsenic,Arsenic,match,5359596,[As],74.92159,,arsenic
Articaine,Articaine,match,32170,CCCNC(C)C(=O)NC1=C(SC=C1C)C(=O)OC,284.38,2.8,methyl 4-methyl-3-[2-(propylamino)propanoylamino]thiophene-2-carboxylate
Asenapine,Asenapine,match,163091,CN1CC2C(C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,285.8,3.8,"(2S,6S)-9-chloro-4-methyl-13-oxa-4-azatetracyclo[12.4.0.02,6.07,12]octadeca-1(18),7(12),8,10,14,16-hexaene"
Astemizole,Astemizole,match,2247,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,458.6,6,1-[(4-fluorophenyl)methyl]-N-[1-[2-(4-methoxyphenyl)ethyl]piperidin-4-yl]benzimidazol-2-amine
Atazanavir (ATV),Atazanavir,match,148192,CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC,704.9,5.6,"methyl N-[(2S)-1-[2-[(2S,3S)-2-hydroxy-3-[[(2S)-2-(methoxycarbonylamino)-3,3-dimethylbutanoyl]amino]-4-phenylbutyl]-2-[(4-pyridin-2-ylphenyl)methyl]hydrazinyl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate"
Atenolol,Atenolol,match,2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,266.34,0.2,2-[4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]acetamide
