drug_name_raw,therapeutic_raw,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_raw,toxic_min_mg_L,toxic_max_mg_L,comatose_raw,comatose_min_mg_L,thalf_raw,references,unit_flag,source,page
Abacavir (ABC),0.9-3.9,0.9,3.9,,,,,,appr. 1.5,"[1, 2]",,Schulz_2020_CritCare,1
Abiraterone,appr. 0.02-0.2,0.02,0.2,,,,,,12,[780],,Schulz_2020_CritCare,1
Acamprosate,0.25-0.7,0.25,0.7,1,1,1,,,(3-) 13-20 (-33),[3-5],,Schulz_2020_CritCare,1
Acebutolol,0.2-2 (0.5-1.26),0.2,2,,,,15-20,15,3-11,[6-8],,Schulz_2020_CritCare,1
Acecarbromal(um),10-20 (sum),10,20,25-30,25,30,,,,"[8, 9], [13]",,Schulz_2020_CritCare,1
Acenocoumarol,0.03-0.1,0.03,0.1,0.1-0.15,0.1,0.15,,,3-11,"[3], [9-11]",,Schulz_2020_CritCare,1
Acetaldehyde,0-30,0,30,100-125,100,125,,,,"[10, 11]",,Schulz_2020_CritCare,1
Acetazolamide,(4-) 10-20,10,20,25-30,25,30,,,2-6 (-13),"[3], [11-14]",,Schulz_2020_CritCare,2
Acetohexamide,20-70,20,70,500,500,500,,,1.3,"[15], [779]",,Schulz_2020_CritCare,2
Acetone,(2-) 5-20,5,20,100-400; 2000,100,400,550,550,(6-) 8-31,"[11], [16, 17]",,Schulz_2020_CritCare,2
Acetonitrile,,,,,,,0.77,0.77,32,[11],,Schulz_2020_CritCare,2
Acetylfentanyl,,,,,,,0.23-0.27,0.23,,[945-947],,Schulz_2020_CritCare,2
"Acetylsalicylic acid (aspirin, ASS, ASA)",20-200,20,200,300-350,300,350,(400-) 500,500,3-20,[28-34],,Schulz_2020_CritCare,2
Acitretin,0.01-0.29 (-0.5),0.01,0.29,,,,,,2-4 days,"[35, 36], [948, 949]",,Schulz_2020_CritCare,2
Acrivastine,-0.07,-0.07,-0.07,,,,,,1-2,[8],,Schulz_2020_CritCare,2
Acrylfentanyl,,,,,,,0.01-5 ng/g; 0.5-2.1 ng/mL,0.01,,"[950, 951], [1071]",NON-MGL:comatose:'ng/g':'0.01-5 ng/g; 0.5-2.1 ng/mL',Schulz_2020_CritCare,2
Acyclovir,0.4-1.5,0.4,1.5,,,,,,2-5,"[3], [10], [37-39]",,Schulz_2020_CritCare,2
Adalimumab,≥ 4.9 (5-9),4.9,4.9,,,,,,appr. 14 days,"[40], [787]",,Schulz_2020_CritCare,2
Adipiodone(-meglumine),850-1200,850,1200,,,,,,0.5,[41],,Schulz_2020_CritCare,3
Agomelatine,0.007-0.3,0.007,0.3,0.6,0.6,0.6,,,1-2,[4],,Schulz_2020_CritCare,3
AH-7921,,,,,,,350 (30-9100) ng/mL,350,,"[1011], [1041], [1071]",NON-MGL:comatose:'ng/mL':'350 (30-9100) ng/mL',Schulz_2020_CritCare,3
Ajmaline,(0.1-) 0.53-2.21 (?),0.53,2.21,,,,5.5,5.5,"1.3-1.6, 5-6","[3], [42], [952]",,Schulz_2020_CritCare,3
Albendazole,0.5-1.5,0.5,1.5,,,,,,8-9,[43-46],,Schulz_2020_CritCare,3
Alcuronium,0.3-3,0.3,3,,,,,,3.3 ± 1.3,[47],,Schulz_2020_CritCare,3
Aldrin,-0.0015,-0.0015,-0.0015,0.0035,0.0035,0.0035,,,50-167 days (as dieldrin),"[11], [48]",,Schulz_2020_CritCare,3
Alendronate (Alendronic acid),< 0.005,0.005,0.005,,,,,,1-2; terminal: days,"[49-51], [999]",,Schulz_2020_CritCare,3
Alfentanil,0.03-0.6,0.03,0.6,,,,0.1-0.2,0.1,0.6-2.3,"[52-55], [1071]",,Schulz_2020_CritCare,3
Alfuzosine,0.003-0.06,0.003,0.06,0.12,0.12,0.12,,,3-9,"[8], [780]",,Schulz_2020_CritCare,3
Alimemazine (Trimeprazine),0.05-0.4,0.05,0.4,0.5,0.5,0.5,1-3.2,1,8,"[56, 57]",,Schulz_2020_CritCare,3
Aliskiren,0.07-0.45,0.07,0.45,,,,,,30-70,[47],,Schulz_2020_CritCare,3
Alizapride,0.1-2,0.1,2,,,,,,2-3,[15],,Schulz_2020_CritCare,3
Allobarbital,2-5,2,5,10,10,10,20,20,40-48,"[8], [11], [13], [58], [779]",,Schulz_2020_CritCare,4
Allopurinol,2-19,2,19,,,,,,0.5-3,"[11], [47]",,Schulz_2020_CritCare,4
Almotriptan,0.05-0.07,0.05,0.07,,,,,,3-4,[47],,Schulz_2020_CritCare,4
Alogliptin,0.06-0.87,0.06,0.87,,,,,,21,[780],,Schulz_2020_CritCare,4
Alphaprodine,0.87-1,0.87,1,,,,,,1.6-2.6,[11],,Schulz_2020_CritCare,4
Alprazolam,0.005-0.05 (-0.08),0.005,0.05,0.1-0.4,0.1,0.4,0.3,0.3,(6-) 12-15 (-20),"[4], [56], [59-63], [1231]",,Schulz_2020_CritCare,4
Alprenolol,0.025-0.14,0.025,0.14,1-2,1,2,40-48,40,2-7,"[7, 8]",,Schulz_2020_CritCare,4
Aluminium,0.001 (< 0.005 ),0.001,0.001,0.02-0.15,0.02,0.15,4.4,4.4,160 days,"[11], [47], [64-66], [953]",,Schulz_2020_CritCare,4
Amantadine,(0.06-) 0.2-0.6 (-1),0.2,0.6,1.2 ; 2.4,1.2,1.2,21-48,21,9-15,"[4], [47, 48]",,Schulz_2020_CritCare,4
5F-AMB (5F-AMB-PINACA),,,,,,,0.3 ng/mL,0.3,,[1037],NON-MGL:comatose:'ng/mL':'0.3 ng/mL',Schulz_2020_CritCare,4
Amikacin,10-25,10,25,30,30,30,,,(0.5-) 2-3,"[67], [954]",,Schulz_2020_CritCare,4
Amiloride,0.017-0.026,0.017,0.026,,,,,,(6-) 17-24,[47],,Schulz_2020_CritCare,4
Aminobenzoic acid,300-600,300,600,600,600,600,,,,[66],,Schulz_2020_CritCare,4
Aminoglutethimide,(0.05-) 7.5-25,7.5,25,,,,,,10-15,"[8], [11]",,Schulz_2020_CritCare,4
Aminophenazone,10-20,10,20,,,,,,appr. 2-4,[15],,Schulz_2020_CritCare,4
5-(2-Aminopropyl)benzofuran (5-APB),appr. 0.1,0.1,0.1,,,,0.1-4.2,0.1,,"[781], [955]",,Schulz_2020_CritCare,5
"5-(2-Aminopropyl)indole (5-API, 5-IT)",,,,0.015-0.59,0.015,0.59,0.7-18.6 mg/kg,0.7,,"[956, 957]",,Schulz_2020_CritCare,5
4-Aminopyridine (Fampridine),0.025-0.075,0.025,0.075,0.14 ; 0.2,0.14,0.14,,,3-3.5,"[10, 11], [68]",,Schulz_2020_CritCare,5
Amiodarone,(0.5-) 1-2 (-2.5),1,2,2.5-3,2.5,3,,,30-120days,"[3], [64], [69-71]",,Schulz_2020_CritCare,5
Amisulpride,0.1-0.4,0.1,0.4,0.64,0.64,0.64,9.3 ; 41.7,9.3,12-20,"[4], [8], [72], [958]",,Schulz_2020_CritCare,5
Amitriptyline Amitriptyline + Nortriptyline,0.05-0.3 0.08-0.2,0.05,0.3,0.5-0.6 0.3,0.5,0.6,1.5-2,1.5,(10-) 30-50,"[4], [56], [73-83], [1084], [1231]",,Schulz_2020_CritCare,5
Amlodipine,0.003-0.015,0.003,0.015,0.088,0.088,0.088,0.1-0.2,0.1,34-50,"[84-86], [780], [1064], [1151]",,Schulz_2020_CritCare,5
Ammonia,0.5-1.7,0.5,1.7,,,,,,,[11],,Schulz_2020_CritCare,5
Amobarbital,1-5,1,5,(5-6) 10-30,10,30,13-96,13,15-30,"[48], [87]",,Schulz_2020_CritCare,5
Amodiaquine,-0.05,-0.05,-0.05,,,,,,-,[88],,Schulz_2020_CritCare,5
Amoxapine,0.18-0.6,0.18,0.6,3,3,3,5,5,8,[9],,Schulz_2020_CritCare,5
Amoxicillin,0.5-1 (5-15),0.5,1,,,,,,1-2,[15],,Schulz_2020_CritCare,5
Amphetamine,0.02-0.1,0.02,0.1,0.2,0.2,0.2,0.5-1,0.5,4-8 (7-34),"[66], [89]",,Schulz_2020_CritCare,5
Amphotericin B,(0.1-) 0.2-3,0.2,3,(3-) 5-10,5,10,5.3,5.3,24-48,"[47], [90-93]",,Schulz_2020_CritCare,5
Ampicillin,0.02-2 (2-20),0.02,2,,,,,,1,[67],,Schulz_2020_CritCare,5
Amrinone,1-2 (-4),1,2,,,,,,3-12,"[3], [94, 95]",,Schulz_2020_CritCare,6
Amsacrine,(0.1-) 1-5.5,1,5.5,,,,,,5-7,[96],,Schulz_2020_CritCare,6
Anileridine,< 0.5,0.5,0.5,,,,0.9,0.9,,"[11], [48]",,Schulz_2020_CritCare,6
Aniline,-0.02 (urine),-0.02,-0.02,0.13,0.13,0.13,6,6,(2-) 3-4 (-7),"[11], [47, 48], [97-99]",,Schulz_2020_CritCare,6
Antimony,-0.01,-0.01,-0.01,0.05-0.2,0.05,0.2,,,,"[64], [100], [959]",,Schulz_2020_CritCare,6
Apixaban,appr. 0.03-0.3,0.03,0.3,,,,0.39,0.39,9-14,"[794-797], [960]",,Schulz_2020_CritCare,6
Apomorphine,0.002-0.02,0.002,0.02,,,,,,appr. 0.75,"[3], [10]",,Schulz_2020_CritCare,6
Aprindine,1-2,1,2,2-3,2,3,,,13-50,"[15], [58]",,Schulz_2020_CritCare,6
Aprobarbital,4-20,4,20,30-40,30,40,50,50,14-34,"[11], [47], [58]",,Schulz_2020_CritCare,6
Aripiprazole Aripiprazole + Dehydroaripiprazole,0.1-0.35 0.15-0.5,0.1,0.35,1,1,1,1.9,1.9,60-80,"[4], [101, 102], [798]",,Schulz_2020_CritCare,6
Armodafinil,0.001-0.01,0.001,0.01,,,,,,10-20,"[47], [780]",,Schulz_2020_CritCare,6
Arsenic,0.002-0.012 (-0.07),0.002,0.012,0.05-0.25,0.05,0.25,0.6-9.3 (-15),0.6,10-14,"[11], [47], [64], [87], [100], [103], [799], [1230]",,Schulz_2020_CritCare,7
Articaine,< 1.5-2 (?),1.5,2,,,,,,0.3 (-1),[104],,Schulz_2020_CritCare,7
Ascorbic acid (Vitamin C),4-15,4,15,,,,,,days,"[3], [105-108], [800]",,Schulz_2020_CritCare,7
Asenapine,0.001-0.005,0.001,0.005,0.01,0.01,0.01,,,13-39,[4],,Schulz_2020_CritCare,7
Astemizole,0.002-0.05,0.002,0.05,14,14,14,,,2-4 days,"[3], [109], [961]",,Schulz_2020_CritCare,7
Atazanavir (ATV),> 0.15,0.15,0.15,,,,,,(4-) 6.5-8.6 (-11),"[2], [47], [110, 111]",,Schulz_2020_CritCare,7
Atenolol,0.1-1 (-2),0.1,1,2-3,2,3,27,27,4-14,"[7], [42], [64], [112]",,Schulz_2020_CritCare,7
Atomoxetine,0.2-1,0.2,1,2,2,2,5.4,5.4,appr. 4,"[4], [962]",,Schulz_2020_CritCare,7
Atorvastatin,0.007-0.01 (-0.25),0.007,0.01,0.05,0.05,0.05,,,11-24,"[47], [780], [1063]",,Schulz_2020_CritCare,7
Atovaquone,13.9 ± 6.9 (> 15),13.9,13.9,,,,,,2-3days,[113],,Schulz_2020_CritCare,7
Atracurium(besylate),0.1-0.5 (-5),0.1,0.5,,,,,,appr. 0.5,"[47], [58]",,Schulz_2020_CritCare,7
Atropine,0.002-0.025,0.002,0.025,0.03-0.1,0.03,0.1,0.2,0.2,"2-6.5, 13-38","[11], [66], [114]",,Schulz_2020_CritCare,7
Avanafil,-,,,,,,,,6-20,[47],,Schulz_2020_CritCare,7
Avobenzone,0.001-0.009,0.001,0.009,,,,,,(29-) 74-112 (-480),"[801], [1122]",,Schulz_2020_CritCare,7
Azapropazone (Apazone),40-90,40,90,,,,,,8-24,"[8], [13]",,Schulz_2020_CritCare,7
Azathioprine,0.05-2,0.05,2,,,,,,1-2 (-4),"[13], [15], [123]",,Schulz_2020_CritCare,8
Azelastine,0.002-0.003 (-0.01),0.002,0.003,,,,,,22-25,[15],,Schulz_2020_CritCare,8
Azelnidipine,< 0.03 ?,0.03,0.03,,,,,,(9-) 14-20,"[802, 803]",,Schulz_2020_CritCare,8
Azilsartan medoxomil,appr. 4-5,4,5,,,,,,12-20,[47],,Schulz_2020_CritCare,8
Azithromycin,appr. 0.04-1,0.04,1,,,,,,50-60 (2-4 days),[115-119],,Schulz_2020_CritCare,8
Aztreonam,1-10 (50-250),1,10,,,,,,1.5-2,[11],,Schulz_2020_CritCare,8
Baclofen,0.08-0.4 (-0.6),0.08,0.4,1.1-3.8,1.1,3.8,6-9.6,6,6.8 ± 0.7 (2-8),"[9], [11], [47], [804]",,Schulz_2020_CritCare,8
Barbexaclone,active metabolite = Phenobarbital (see there),,,,,,,,,[12],,Schulz_2020_CritCare,8
Barbital,2-20,2,20,20-50,20,50,50,50,57-120,"[13], [15]",,Schulz_2020_CritCare,8
Barium,-0.001,-0.001,-0.001,,,,0.37; 16-23,0.37,10-18,[47],,Schulz_2020_CritCare,8
Benazepril,0.003-0.007,0.003,0.007,,,,,,10.5,[780],,Schulz_2020_CritCare,8
Bendrofluazide,0.05-0.1,0.05,0.1,,,,,,appr. 3,[42],,Schulz_2020_CritCare,8
Bendroflumethiazide,0.02-0.09,0.02,0.09,,,,,,2.4-3.8,"[47], [1152]",,Schulz_2020_CritCare,8
Benoxaprofen,-50,-50,-50,,,,,,19-39,[3],,Schulz_2020_CritCare,9
Benperidol,0.001-0.01,0.001,0.01,0.02,0.02,0.02,,,4-8,"[4], [8]",,Schulz_2020_CritCare,9
Benzbromarone,2-10,2,10,,,,,,2-4,"[927, 928]",,Schulz_2020_CritCare,9
Benzene,-0.0002,-0.0002,-0.0002,,,,0.95,0.95,9-24,"[47], [58]",,Schulz_2020_CritCare,9
Benzonatate,,,,2.5,2.5,2.5,0.8 ; 4-35,0.8,appr. 1-3,"[8], [47], [963]",,Schulz_2020_CritCare,9
Benzoylecgonine,-0.1,-0.1,-0.1,,,,1,1,4-5,[8],,Schulz_2020_CritCare,9
Benzphetamine,0.025-0.5,0.025,0.5,0.5,0.5,0.5,14,14,,"[8], [11], [47]",,Schulz_2020_CritCare,9
Benztropine,0.01-0.18,0.01,0.18,0.05,0.05,0.05,0.2-0.7,0.2,12-24,"[8], [11], [47]",,Schulz_2020_CritCare,9
Benzydamine,-,,,,,,,,6-23 (oral); 14-35 (topical),[47],,Schulz_2020_CritCare,9
Benzyl alcohol,-,,,18,18,18,,,-,"[3], [47], [120, 121]",,Schulz_2020_CritCare,9
Benzylpenicillin,1.2-12,1.2,12,,,,,,1,"[41], [67]",,Schulz_2020_CritCare,9
N-Benzylpiperazine,0.01-1.2,0.01,1.2,0.7-6.3,0.7,6.3,8.3-20,8.3,4-6,[47],,Schulz_2020_CritCare,9
Bepridil,0.6-2.5,0.6,2.5,,,,,,33-42 (30-130),"[8], [122]",,Schulz_2020_CritCare,9
Beryllium,-0.0003,-0.0003,-0.0003,,,,,,,[58],,Schulz_2020_CritCare,9
Betacarotene,4-6,4,6,,,,,,,"[3], [124]",,Schulz_2020_CritCare,9
Betaxolol,0.005-0.05,0.005,0.05,,,,36,36,14-22,"[7], [47], [125]",,Schulz_2020_CritCare,10
Bethanidine,0.02-0.5,0.02,0.5,,,,,,9-10,"[3], [58]",,Schulz_2020_CritCare,10
Bevantolol,0.2-2,0.2,2,,,,,,2,[8],,Schulz_2020_CritCare,10
Bezafibrate,-15,-15,-15,,,,,,2,[3],,Schulz_2020_CritCare,10
Bicalutamide,1.5-17.5 (-25),1.5,17.5,,,,,,(3-) 7-10days,[126],,Schulz_2020_CritCare,10
Biperiden,0.001-0.0065,0.001,0.0065,0.013,0.013,0.013,0.25,0.25,18-24,"[4], [56]",,Schulz_2020_CritCare,10
Bismut (Bismuth),< 0.05 (-0.1),0.05,0.05,0.05-0.1,0.05,0.1,,,days,"[47], [64]",,Schulz_2020_CritCare,10
Bisoprolol,0.01-0.1,0.01,0.1,0.2,0.2,0.2,0.17,0.17,10-12,"[7], [780], [964], [1064]",,Schulz_2020_CritCare,10
Bopindolol,0.001-0.015,0.001,0.015,,,,,,4-8,"[7], [965]",,Schulz_2020_CritCare,10
Borate,0-7,0,7,20,20,20,200,200,12-27,"[47], [66]",,Schulz_2020_CritCare,10
Boron,0.8-6,0.8,6,20-50,20,50,50-150,50,,[58],,Schulz_2020_CritCare,10
Bornaprine,0.0007-0.0072,0.0007,0.0072,0.014,0.014,0.014,,,appr. 30,[4],,Schulz_2020_CritCare,10
Bosentan,0.7-1.6,0.7,1.6,,,,,,3.5-5.1,[47],,Schulz_2020_CritCare,10
Brallobarbital (Brallobarbitone),4-8,4,8,8-10,8,10,15,15,20-40,"[8], [13]",,Schulz_2020_CritCare,10
Bretylium,0.8-2.4,0.8,2.4,,,,,,6-11,"[3], [58]",,Schulz_2020_CritCare,10
Brexiprazole,0.04-0.14,0.04,0.14,0.28,0.28,0.28,,,91,[4],,Schulz_2020_CritCare,10
Brivaracetam,0.5-0.9,0.5,0.9,1.8,1.8,1.8,,,7-11,[4],,Schulz_2020_CritCare,11
Brodifacoum,,,,0.02,0.02,0.02,0.03-0.17; acute: 3.9,0.03,20-60 days,"[58], [127]",,Schulz_2020_CritCare,11
Bromadiolon,,,,0.02,0.02,0.02,,,"3-6 days (early), 10- 24 days (late phase)","[11], [47], [58]",,Schulz_2020_CritCare,11
Bromazepam,(0.05-) 0.08-0.2,0.08,0.2,0.3-0.4,0.3,0.4,(1-) 2,2,8-22 (-35),"[4], [59]",,Schulz_2020_CritCare,11
Bromide,75-100 (-300),75,100,500-1500; 3000,500,1500,2000,2000,9-15 days,"[47], [58], [128-130]",,Schulz_2020_CritCare,11
Bromisoval,10-20,10,20,30-40,30,40,,,appr. 4,"[13], [58]",,Schulz_2020_CritCare,11
"Bromobenzodifuranylisopropylamine (Bromo-DragonFLY, BDF)",,,,0.5-2 ng/mL,0.5,2,4.7 ng/mL,4.7,,"[967, 968]",NON-MGL:toxic:'ng/mL':'0.5-2 ng/mL'; NON-MGL:comatose:'ng/mL':'4.7 ng/mL',Schulz_2020_CritCare,11
Bromocriptine,0.1-0.3 (-4) ng/mL,0.1,0.3,8 ng/mL,8,8,,,appr. 38,[4],NON-MGL:therapeutic:'ng/mL':'0.1-0.3 (-4) ng/mL'; NON-MGL:toxic:'ng/mL':'8 ng/mL',Schulz_2020_CritCare,11
"25B-NBOMe (2-(4-bromo-2,5- dimethoxyphenyl)-N-[(2- methoxyphenyl)methyl]ethanamine)",,,,0.038,0.038,0.038,0.06-0.66,0.06,,[966],,Schulz_2020_CritCare,11
Bromoxynil,,,,20,20,20,79 ; 137,79,,"[58], [969]",,Schulz_2020_CritCare,11
Bromperidol,0.012-0.02,0.012,0.02,0.03,0.03,0.03,,,20-36,[4],,Schulz_2020_CritCare,11
Brompheniramine,0.005-0.015,0.005,0.015,0.2,0.2,0.2,,,2-10 (-20),"[15], [47]",,Schulz_2020_CritCare,11
Brotizolam,0.001-0.01 (-0.02),0.001,0.01,0.02,0.02,0.02,0.01-0.03 ; 0.21,0.01,4-10,"[4], [47], [131], [970]",,Schulz_2020_CritCare,11
Budesonide,appr. 0.009-0.045,0.009,0.045,,,,,,2-3,[780],,Schulz_2020_CritCare,11
Budipine,appr. 0.1-0.3,0.1,0.3,,,,,,30,[15],,Schulz_2020_CritCare,12
Buflomedil,appr. 0.2-0.5 (-1.0),0.2,0.5,15-25,15,25,25-50; 275,25,2-4,"[11], [42], [58]",,Schulz_2020_CritCare,12
Bumetanide,0.001-0.005,0.001,0.005,,,,,,0.8-1.5,"[780], [1205]",,Schulz_2020_CritCare,12
Bunitrolol,0.001-0.015,0.001,0.015,,,,,,2-6,[7],,Schulz_2020_CritCare,12
Bupivacaine,(0.25-) 0.5-1.5 (-2),0.5,1.5,2-4,2,4,3.8,3.8,0.5-3,"[3], [132-134], [971]",,Schulz_2020_CritCare,12
Bupranolol,-,,,,,,,,2-4,"[7], [972]",,Schulz_2020_CritCare,12
Buprenorphine,0.0005-0.005 (-0.014),0.0005,0.005,0.01 ; 0.03-0.1,0.01,0.01,0.008-0.029,0.008,2-5 (i.v.); 18-49 (sublingual); appr. 19 (buccal),"[3, 4], [47], [135-141], [1006]",,Schulz_2020_CritCare,12
Bupropion (Amfebutamone),0.01-0.02; 0.05-0.1 ; 0.55-1.5,0.01,0.02,1.2-2 ; 2,1.2,2,4 ; 4.2 ; 7.3,4,(4-) 10-20; 17-47,"[4], [47], [80], [142-148], [973]",,Schulz_2020_CritCare,12
Buspirone,0.001-0.004 (-0.01),0.001,0.004,0.03,0.03,0.03,0.2 (0.05-1.1),0.2,1-5 (4-7),"[4], [1012], [1194]",,Schulz_2020_CritCare,12
Busulfan,> 0.9,0.9,0.9,,,,,,2-4,[149-154],,Schulz_2020_CritCare,12
Butalbital,1-5,1,5,10-15,10,15,15-30,15,30-40,"[13], [15], [58]",,Schulz_2020_CritCare,12
Butanone,-10,-10,-10,500,500,500,,,,[58],,Schulz_2020_CritCare,12
Butaperazine,0.02-0.3 (-0.7),0.02,0.3,,,,,,12,"[15], [779]",,Schulz_2020_CritCare,13
Butorphanol,0.0006-0.002,0.0006,0.002,,,,,,4-9,"[8], [779]",,Schulz_2020_CritCare,13
Butriptyline,0.07-0.15,0.07,0.15,0.4-0.5,0.4,0.5,15,15,18-22,"[15], [47], [779]",,Schulz_2020_CritCare,13
Butylone,,,,0.2,0.2,0.2,0.13-129,0.13,,"[955], [1014, 1015]",,Schulz_2020_CritCare,13
Butylscopolamine,-0.7,-0.7,-0.7,,,,,,4-5,[8],,Schulz_2020_CritCare,13
Buturylfentanyl,,,,,,,99 ng/mL,99,,"[974], [1071]",NON-MGL:comatose:'ng/mL':'99 ng/mL',Schulz_2020_CritCare,13
Cabergoline,0.058-0.144 ng/mL,0.058,0.144,0.39 ng/mL,0.39,0.39,,,63-68,[4],NON-MGL:therapeutic:'ng/mL':'0.058-0.144 ng/mL'; NON-MGL:toxic:'ng/mL':'0.39 ng/mL',Schulz_2020_CritCare,13
Cadmium,< 0.0003-0.0065,0.0003,0.0065,0.015-0.05,0.015,0.05,,,appr. 16 years,"[47], [58], [100]",,Schulz_2020_CritCare,13
Caffeine (Coffein),(2-) 4-10,4,10,15-20,15,20,80-180,80,2-10,"[47], [64], [155-157]",,Schulz_2020_CritCare,13
Calcifediol (Calcidiol; see also Vitamin D),0.01-0.05,0.01,0.05,,,,,,,[66],,Schulz_2020_CritCare,13
Camazepam,0.1-0.6,0.1,0.6,2,2,2,,,20-24,[59],,Schulz_2020_CritCare,13
Camostat,87.1 ± 29.5 ng/mL,87.1,87.1,,,,,,100 ± 40 min,"[1227, 1228]",NON-MGL:therapeutic:'ng/mL':'87.1 ± 29.5 ng/mL',Schulz_2020_CritCare,13
Camphor,,,,0.3-0.4,0.3,0.4,1.7,1.7,2-8,"[8], [47], [158]",,Schulz_2020_CritCare,13
Canagliflozin,0.17-1.3,0.17,1.3,,,,,,(8-) 10-12 (-15),"[47], [780]",,Schulz_2020_CritCare,13
Candesartan,0.08-0.18 (-0.4),0.08,0.18,0.54,0.54,0.54,,,"5-7, 8-13","[15], [47], [780], [1064]",,Schulz_2020_CritCare,13
Captopril,0.05-0.5 (-1),0.05,0.5,5-6,5,6,60,60,1-2 (-6),"[42], [47], [84], [159]",,Schulz_2020_CritCare,14
Carazolol,-0.015,-0.015,-0.015,,,,,,9,[7],,Schulz_2020_CritCare,14
Carbachol,appr. 0.01 ?,0.01,0.01,,,,3.6,3.6,,"[3], [160]",,Schulz_2020_CritCare,14
Carbamazepine,2-8 (4-12),2,8,10,10,10,20,20,12-60 (7-35),"[12], [56], [161-166], [1231]",,Schulz_2020_CritCare,14
Carbaryl,,,,5,5,5,6-27,6,,"[47], [167]",,Schulz_2020_CritCare,14
Carbenoxolone,appr. 5-30,5,30,,,,,,8-20,[66],,Schulz_2020_CritCare,14
Carbidopa,0.02-0.2,0.02,0.2,0.4,0.4,0.4,,,2,[4],,Schulz_2020_CritCare,14
Carbimazole,0.5-3.4,0.5,3.4,,,,,,3-6,"[8], [13]",,Schulz_2020_CritCare,14
Carbinoxamine,appr. 0.02-0.04,0.02,0.04,,,,,,appr. 10-15,[168],,Schulz_2020_CritCare,14
Carbocromene (Carbochromene),0.8-2.4 (-3),0.8,2.4,,,,,,0.2-1.5,[8],,Schulz_2020_CritCare,14
Carbon monoxide,-,,,17-30%,17,30,50-60%,50,,"[10], [47], [58], [975-978]",,Schulz_2020_CritCare,14
Carbon tetrachloride,-0.07,-0.07,-0.07,0.12 ; 7.1 ; 11 ; 10-50,0.12,0.12,100-200,100,appr. 24; 42.6,"[58], [169-173]",,Schulz_2020_CritCare,14
Carboplatin,peak 10-25,10,25,,,,,,2.5-6,[47],,Schulz_2020_CritCare,14
Carbromal(um),2-10,2,10,15-20,15,20,40,40,7-15,"[13], [58]",,Schulz_2020_CritCare,14
Carfentanil,,,,,,,0.12 ; 0.145 ; 0.221 ; 1.3 ng/mL,0.12,,"[979, 980], [1071]",NON-MGL:comatose:'ng/mL':'0.12 ; 0.145 ; 0.221 ; 1.3 ng/mL',Schulz_2020_CritCare,14
Cariprazine,0.01-0.02,0.01,0.02,0.04,0.04,0.04,,,48-120,"[4], [47]",,Schulz_2020_CritCare,15
Carisoprodol,2.5-10,2.5,10,40; 30-50,40,40,8-65 ; 110,8,0.9-2.4,"[47], [56], [58], [982]",,Schulz_2020_CritCare,15
Carteolol,0.01-0.1,0.01,0.1,,,,,,3-7,[7],,Schulz_2020_CritCare,15
Carvedilol,appr. 0.02-0.15 (-0.3),0.02,0.15,0.47,0.47,0.47,,,6-10,"[3], [8], [95], [983]",,Schulz_2020_CritCare,15
Cathine,0.054-0.087 ; 0.11-0.2 ; 0.016-0.31,0.054,0.087,,,,,,1.8-8.6,"[984, 985]",,Schulz_2020_CritCare,15
Cathinone,0.047-0.087 ; 0.009-0.17,0.047,0.087,,,,,,0.7-2.3,"[984, 985]",,Schulz_2020_CritCare,15
Cefaclor,13-35 (i.v. -900),13,35,,,,,,0.5-1 (-2),"[3], [8], [11]",,Schulz_2020_CritCare,15
Cefadroxil,-30,-30,-30,,,,,,1-2,[8],,Schulz_2020_CritCare,15
Cefalexin,-65,-65,-65,,,,,,1-1.5,[41],,Schulz_2020_CritCare,15
Cefaloridine,20-80,20,80,,,,,,1.5,[41],,Schulz_2020_CritCare,15
Cefamandole,1-5 (10-40-150),1,5,,,,,,0.5-1.2,"[41], [58]",,Schulz_2020_CritCare,15
Cefazolin,-150,-150,-150,,,,,,1.5-2,"[8], [41], [67]",,Schulz_2020_CritCare,15
Cefdinir,-4,-4,-4,,,,,,1.1-2.3,"[8], [47]",,Schulz_2020_CritCare,15
Cefepime,-160,-160,-160,,,,,,2,[8],,Schulz_2020_CritCare,15
Cefetamet,-7,-7,-7,,,,,,2-3,[8],,Schulz_2020_CritCare,16
Cefixime,-7,-7,-7,,,,,,3-4,[8],,Schulz_2020_CritCare,16
Cefmenoxime,-200,-200,-200,,,,,,1-2,[8],,Schulz_2020_CritCare,16
Cefodizime,-400,-400,-400,,,,,,2-4,[8],,Schulz_2020_CritCare,16
Cefoperazone,-250,-250,-250,,,,,,1-2 (-5),"[8], [174]",,Schulz_2020_CritCare,16
Cefotaxime,0.5-2 (10-50; i.v. -225),0.5,2,,,,,,1-1.5,[67],,Schulz_2020_CritCare,16
Cefotetan,65-90,65,90,,,,,,3.5,[41],,Schulz_2020_CritCare,16
Cefotiam,-150,-150,-150,,,,,,0.7-1.5 (-2),"[41], [175]",,Schulz_2020_CritCare,16
Cefoxitin,-150,-150,-150,,,,,,0.7-1,[41],,Schulz_2020_CritCare,16
Cefpodoxime,-7,-7,-7,,,,,,2-3,[8],,Schulz_2020_CritCare,16
Cefsulodin,20-100,20,100,,,,,,1.6-1.9,"[3], [8], [11]",,Schulz_2020_CritCare,16
